status,time_days,at_risk,events,survival,ci_low,ci_high
Helpful,0,25104,518,0.979365838113448,0.9775311182637705,0.9810521976975357
Helpful,1,24572,495,0.9596366304841888,0.9571284489541856,0.9620010010727517
Helpful,2,24072,410,0.9432918723212393,0.9403591353751548,0.9460845650690943
Helpful,3,23650,381,0.9280955000863813,0.9248297533500178,0.9312246994252035
Helpful,4,23264,354,0.9139730015035675,0.9104355940330698,0.9173771190701492
Helpful,5,22901,322,0.9011220645801079,0.8973620262643752,0.9047517797503359
Helpful,6,22569,292,0.8894632563538953,0.8855179424873066,0.8932809405506337
Helpful,7,22269,275,0.8784792698481105,0.8743719056967622,0.8824615451612468
Helpful,8,21986,268,0.8677709807405287,0.863515924754099,0.8719034281520652
Helpful,9,21706,249,0.8578163610867744,0.8534321563060868,0.8620802641250275
Helpful,10,21447,237,0.848337064328367,0.8438365368486772,0.8527194888681856
Helpful,11,21202,236,0.8388942029388049,0.8342837653054618,0.8433887310194103
Helpful,12,20958,202,0.8308086685846853,0.8261085236458736,0.8353947843998756
Helpful,13,20747,232,0.8215182838971813,0.8167197554733769,0.8262049462629087
Helpful,14,20500,223,0.8125817679308851,0.8076930232414735,0.817360728135914
Helpful,15,20271,201,0.8045244971818294,0.7995579757922434,0.8093831141589058
Helpful,16,20063,185,0.7971060138055328,0.7920707178656463,0.8020351387305561
Helpful,17,19871,168,0.7903668557199142,0.7852713394634313,0.7953577775145129
Helpful,18,19695,158,0.7840262635288126,0.7788759710962593,0.7890734461947554
Helpful,19,19525,178,0.7768786745450414,0.7716687274372909,0.7819871864425535
Helpful,20,19337,145,0.7710531893193585,0.7657962185470212,0.7762100907843879
Helpful,21,19184,145,0.7652252747837399,0.759922658191279,0.7704291897690165
Helpful,22,19029,156,0.7589519476059448,0.7536017088305063,0.7642049581427321
Helpful,23,18865,140,0.7533196511487578,0.7479279662861884,0.7586154319507755
Helpful,24,18718,147,0.7474035282339769,0.7419696140941368,0.7527429307766148
Helpful,25,18561,134,0.7420076943466136,0.7365363915675355,0.7473857565057255
Helpful,26,18419,119,0.7372137904632732,0.7317101569285119,0.7426253135269457
Helpful,27,18293,124,0.7322165505344783,0.7266800894070502,0.7376620803563206
Helpful,28,18163,103,0.7280642461406528,0.7225011773247905,0.733537364357524
Helpful,29,18056,99,0.7240723121371125,0.7184842315346744,0.7295713858984161
Helpful,30,17949,121,0.7191911070689421,0.7135731748640084,0.7247211872391615
Helpful,31,17819,97,0.7152760985170767,0.7096347941266726,0.7208304776635588
Helpful,32,17709,108,0.7109139200406047,0.7052471482353173,0.7164947994161549
Helpful,33,17596,96,0.7070353262508855,0.7013464366630024,0.712639242646535
Helpful,34,17499,100,0.7029948935047236,0.6972834957372808,0.7086222769558279
Helpful,35,17394,108,0.6986299717789267,0.692894847723931,0.7042821184634793
Helpful,36,17277,80,0.6953950121364938,0.6896426830053785,0.7010651327953823
Helpful,37,17186,111,0.6909036327377301,0.6851279389038356,0.6965981860333352
Helpful,38,17070,87,0.6873823312703499,0.6815887578097533,0.6930956023255871
Helpful,39,16979,87,0.6838602002366895,0.6780491257666236,0.6895918114226377
Helpful,40,16884,77,0.6807414348127244,0.6749151698101908,0.6864889799322671
Helpful,41,16799,94,0.6769322976692995,0.6710878674021841,0.6826989165485411
