status,window_days,n,retained,proportion,ci_low,ci_high
Helpful,30,37322,17607,0.4717592840683779,0.4666978893635988,0.4768264916654096
Not Helpful,30,23854,5674,0.23786367066320113,0.23250298799369687,0.2433087688416519
NMR,30,256747,115200,0.4486907344584357,0.4467676867944152,0.4506153174820257
Helpful,60,36904,20383,0.5523249512247995,0.5472464708663843,0.5573925393642455
Not Helpful,60,23492,6735,0.28669334241443895,0.2809458263604549,0.29251060772534837
NMR,60,253413,134218,0.5296413364744508,0.5276976049364743,0.5315841693667587
Helpful,90,36505,21893,0.5997260649226134,0.5946897725912503,0.6047413709089464
Not Helpful,90,23063,7402,0.3209469713393748,0.31495219546335235,0.3270013847550706
NMR,90,249823,144269,0.5774848592803705,0.5755467104597094,0.5794206252113916
