cohort_month,window_days,comparison,difference,ci_low,ci_high,n_status,n_reference
2023-01,30,Helpful - NMR,-0.030656934306569295,-0.1976369708439087,0.1520201989169498,35,137
2023-01,30,Not Helpful - NMR,0.06934306569343068,-0.20703961994049208,0.34460393478123874,10,137
2023-02,30,Helpful - NMR,0.2,0.029439058849405758,0.35415938801970953,39,195
2023-02,30,Not Helpful - NMR,-0.05641025641025643,-0.2803640423157264,0.2628845684709513,9,195
2023-03,30,Helpful - NMR,0.08818426155887454,-0.0034617688326880475,0.18385927345486147,119,741
2023-03,30,Not Helpful - NMR,-0.11576758945179999,-0.20160454414441972,-0.004262588055157376,74,741
2023-04,30,Helpful - NMR,0.06392915156816198,-0.01559428697745148,0.14610958248652897,159,1208
2023-04,30,Not Helpful - NMR,-0.08973008227975116,-0.16457666105897092,-0.0034713657488001926,132,1208
2023-05,30,Helpful - NMR,0.008295625942684792,-0.05918849307691597,0.0811914096153515,195,1530
2023-05,30,Not Helpful - NMR,-0.15993866741009197,-0.21128893127102105,-0.09840657263411703,211,1530
2023-06,30,Helpful - NMR,0.04068902888926729,-0.025322460484899542,0.11112095651525533,210,1678
2023-06,30,Not Helpful - NMR,-0.07782948962925124,-0.1379604573649386,-0.008388144034036898,189,1678
2023-07,30,Helpful - NMR,0.07409910188803404,0.024003416000906032,0.1262019877984556,386,2929
2023-07,30,Not Helpful - NMR,-0.11079117546643105,-0.15042752781719548,-0.06619519633915835,408,2929
2023-08,30,Helpful - NMR,0.07413990406184218,0.03869919356756137,0.11100813532002979,743,4875
2023-08,30,Not Helpful - NMR,-0.06279929594215308,-0.09694450526281811,-0.02482453461779125,539,4875
2023-09,30,Helpful - NMR,0.027465639167766787,-0.026755256291669527,0.08506582439091398,308,2538
2023-09,30,Not Helpful - NMR,-0.04188817774702569,-0.10161501004047749,0.025506997341464818,205,2538
2023-10,30,Helpful - NMR,0.0045198869918776086,-0.030235608242738965,0.040632655536128104,787,5223
2023-10,30,Not Helpful - NMR,-0.03185623594679482,-0.0742756077058397,0.013615878265603718,457,5223
2023-11,30,Helpful - NMR,-0.006922758889051028,-0.04250118487775749,0.030436062010994948,712,4620
2023-11,30,Not Helpful - NMR,0.015070346320346317,-0.03401077964571701,0.06756136098255995,352,4620
2023-12,30,Helpful - NMR,-0.01712421757100907,-0.049938099162873444,0.01698037605108755,881,5426
2023-12,30,Not Helpful - NMR,-0.04205621221549888,-0.08690882988336385,0.006312527360183083,401,5426
2024-01,30,Helpful - NMR,-0.01710168071626783,-0.047352879825475216,0.014751979502994055,923,6456
