period,status,window_days,n,retained,proportion,ci_low,ci_high
2024-04 onward,Helpful,30,17515,4456,0.2544105052811875,0.24801482886959314,0.2609138853823182
2024-04 onward,Not Helpful,30,14892,950,0.06379264034380876,0.05997899801956581,0.06783126795861556
2024-04 onward,NMR,30,134751,31664,0.234981558578415,0.23272534939202813,0.2372528775362717
before 2024-04,Helpful,30,7283,2393,0.3285733900865028,0.3178790355382067,0.3394484891360963
before 2024-04,Not Helpful,30,4261,1075,0.2522881952593288,0.23947437076452754,0.26554826128807646
before 2024-04,NMR,30,48622,15224,0.31310929209000044,0.30900204585936486,0.31724606718581827
