cohort_month,status,window_days,n,retained,proportion,ci_low,ci_high,cohort_complete
2023-01,Helpful,30,35,14,0.4,0.25550728859380584,0.5642729098710748,True
2023-01,Not Helpful,30,10,5,0.5,0.236593090512564,0.7634069094874361,True
2023-01,NMR,30,137,59,0.4306569343065693,0.35074857375992136,0.514347966995248,True
2023-02,Helpful,30,39,23,0.5897435897435898,0.4341862288289696,0.7292068999927482,True
2023-02,Not Helpful,30,9,3,0.3333333333333333,0.12058381838691096,0.6457978644196036,True
2023-02,NMR,30,195,76,0.38974358974358975,0.3240541536906114,0.4596931580871835,True
2023-03,Helpful,30,119,50,0.42016806722689076,0.33534413735633245,0.5099849544470025,True
2023-03,Not Helpful,30,74,16,0.21621621621621623,0.13770451655905028,0.3227372501253851,True
2023-03,NMR,30,741,246,0.3319838056680162,0.29901966346187103,0.3666810073973462,True
2023-04,Helpful,30,159,69,0.4339622641509434,0.3593814512725848,0.5116587607711844,True
2023-04,Not Helpful,30,132,37,0.2803030303030303,0.21073054489081627,0.36230113112675416,True
2023-04,NMR,30,1208,447,0.37003311258278143,0.3432585418323592,0.39763165653932414,True
2023-05,Helpful,30,195,67,0.3435897435897436,0.28053345330408685,0.4126894773574361,True
2023-05,Not Helpful,30,211,37,0.17535545023696683,0.12998101885403482,0.23233945340481496,True
2023-05,NMR,30,1530,513,0.3352941176470588,0.3120772687978666,0.35933596814286367,True
2023-06,Helpful,30,210,76,0.3619047619047619,0.29992942543192347,0.42884159811111666,True
2023-06,Not Helpful,30,189,46,0.24338624338624337,0.18771615372980335,0.30927997670192325,True
2023-06,NMR,30,1678,539,0.3212157330154946,0.29930417470039405,0.3439440061235467,True
2023-07,Helpful,30,386,148,0.38341968911917096,0.33628936844734947,0.43284755128340935,True
2023-07,Not Helpful,30,408,81,0.19852941176470587,0.16271419419171218,0.2399685743075552,True
2023-07,NMR,30,2929,906,0.3093205872311369,0.2928403820726003,0.32630029918019754,True
2023-08,Helpful,30,743,252,0.3391655450874832,0.30602911766054913,0.37395651091262244,True
2023-08,Not Helpful,30,539,109,0.20222634508348794,0.17047931086242923,0.23818781508376813,True
2023-08,NMR,30,4875,1292,0.265025641025641,0.252825019194718,0.2775962869008122,True
2023-09,Helpful,30,308,107,0.3474025974025974,0.2964019628055222,0.40216281316915303,True
2023-09,Not Helpful,30,205,57,0.2780487804878049,0.22122929685154352,0.3430334672860588,True
2023-09,NMR,30,2538,812,0.3199369582348306,0.3020735848988357,0.3383445864122668,True
2023-10,Helpful,30,787,268,0.3405336721728081,0.30827138139955557,0.37434515671885293,True
2023-10,Not Helpful,30,457,139,0.3041575492341357,0.26375564262854967,0.34782444294346926,True
2023-10,NMR,30,5223,1755,0.3360137851809305,0.3233285352928447,0.3489400778847787,True
2023-11,Helpful,30,712,221,0.3103932584269663,0.27750353530014776,0.34531797542261927,True
2023-11,Not Helpful,30,352,117,0.33238636363636365,0.28521787396771414,0.3831737732814072,True
2023-11,NMR,30,4620,1466,0.31731601731601733,0.3040515670139784,0.3308840130587599,True
2023-12,Helpful,30,881,290,0.32917139614074914,0.29894192507648737,0.3608841409385826,True
2023-12,Not Helpful,30,401,122,0.30423940149625933,0.26124140843425914,0.35095246010543524,True
2023-12,NMR,30,5426,1879,0.3462956137117582,0.333748696818918,0.35906001359188794,True
2024-01,Helpful,30,923,260,0.28169014084507044,0.2536215965986607,0.31156833295760444,True
2024-01,Not Helpful,30,469,130,0.2771855010660981,0.23861016844155847,0.3193812130221919,True
2024-01,NMR,30,6456,1929,0.29879182156133827,0.28774875561701385,0.3100741914999747,True
2024-02,Helpful,30,791,255,0.3223767383059418,0.2907312981244578,0.3557390804880021,True
2024-02,Not Helpful,30,349,99,0.2836676217765043,0.23892901973456607,0.33311673558940025,True
2024-02,NMR,30,5098,1554,0.30482542173401334,0.2923399601297057,0.3176047988240556,True
2024-03,Helpful,30,995,293,0.29447236180904524,0.26698479446609213,0.32354081258780854,True
2024-03,Not Helpful,30,456,77,0.16885964912280702,0.13727357222718628,0.20597833730157417,True
2024-03,NMR,30,5968,1751,0.2933981233243968,0.2819821716110489,0.30507987332023434,True
2024-04,Helpful,30,1078,329,0.3051948051948052,0.27843766885232984,0.3333353903371024,True
2024-04,Not Helpful,30,519,50,0.09633911368015415,0.0738405517581985,0.12476928889008497,True
2024-04,NMR,30,6539,1920,0.29362287811591986,0.2827082341416814,0.3047798599857778,True
2024-05,Helpful,30,958,284,0.2964509394572025,0.2683908686174243,0.32613690264523704,True
2024-05,Not Helpful,30,579,59,0.10189982728842832,0.07982427008299761,0.12922307371307498,True
2024-05,NMR,30,6820,1989,0.2916422287390029,0.2809747539979164,0.3025442921067746,True
2024-06,Helpful,30,952,245,0.25735294117647056,0.23059622156379497,0.28606002332224495,True
2024-06,Not Helpful,30,711,79,0.1111111111111111,0.09006830375773128,0.13633358833130788,True
2024-06,NMR,30,7426,2267,0.30527875033665497,0.29490737098471403,0.31585148355764997,True
2024-07,Helpful,30,1181,354,0.29974597798475866,0.27430025851899154,0.3264902130848718,True
2024-07,Not Helpful,30,863,91,0.10544611819235226,0.08667452184461723,0.12771469192640453,True
2024-07,NMR,30,8799,2529,0.28741902488919197,0.2780574264527343,0.29696615911333163,True
2024-08,Helpful,30,1009,220,0.2180376610505451,0.19365520294089114,0.24455894691972244,True
2024-08,Not Helpful,30,768,33,0.04296875,0.03075752124254462,0.059729272415061874,True
2024-08,NMR,30,7228,1504,0.2080796900940786,0.19887770598765198,0.21759180263897093,True
2024-09,Helpful,30,600,134,0.22333333333333333,0.19182825353148128,0.25835855436276645,True
2024-09,Not Helpful,30,504,21,0.041666666666666664,0.027411723001142717,0.06285554057979226,True
2024-09,NMR,30,4557,1104,0.24226464779460172,0.23004530496809864,0.25491815600531004,True
2024-10,Helpful,30,791,198,0.2503160556257901,0.22138302403879814,0.2816625259680406,True
2024-10,Not Helpful,30,622,46,0.07395498392282958,0.05590105757595151,0.0972390987206499,True
2024-10,NMR,30,5848,1535,0.2624829001367989,0.2513647702309187,0.2739128676632831,True
2024-11,Helpful,30,856,258,0.3014018691588785,0.27160546873380687,0.33297279797791557,True
2024-11,Not Helpful,30,696,49,0.07040229885057471,0.05366076234874659,0.09185999458427024,True
2024-11,NMR,30,6112,1526,0.24967277486910994,0.23898133824388784,0.26067868064253147,True
2024-12,Helpful,30,1052,309,0.29372623574144485,0.26699343599200703,0.32196000358522875,True
2024-12,Not Helpful,30,699,49,0.07010014306151645,0.05342869064559776,0.0914709272448652,True
2024-12,NMR,30,6049,1700,0.2810381881302695,0.2698521919498565,0.2925021142017343,True
2025-01,Helpful,30,941,250,0.26567481402763016,0.23844781431807938,0.294807213937735,True
2025-01,Not Helpful,30,786,55,0.06997455470737914,0.054152700074644074,0.08997933749992171,True
2025-01,NMR,30,7184,1823,0.25375835189309576,0.24382907409320284,0.2639508317005906,True
2025-02,Helpful,30,713,173,0.2426367461430575,0.21260461824759624,0.27542722549681126,True
2025-02,Not Helpful,30,600,32,0.05333333333333334,0.038029103590111496,0.07432068264879448,True
2025-02,NMR,30,5259,1250,0.23768777334093935,0.2263773827782958,0.24938109834109537,True
2025-03,Helpful,30,564,113,0.20035460992907803,0.16939761661872615,0.23536581734756795,True
