status,window_days,n,retained,proportion,ci_low,ci_high
Helpful,30,24798,6849,0.2761916283571256,0.27066172313795367,0.2817908631577175
Not Helpful,30,19153,2025,0.10572756226178666,0.10145163855359259,0.11016161029720471
NMR,30,183373,46888,0.25569740365266425,0.2537058104609642,0.25769923236108705
Helpful,60,24499,9177,0.37458671782521735,0.368545971262634,0.38066678798705367
Not Helpful,60,18836,2931,0.1556062858356339,0.15050001658241827,0.16085299939927114
NMR,60,180688,63821,0.35321105994864077,0.3510103526541715,0.35541800862804457
Helpful,90,24212,10583,0.43709730712043615,0.43085980970865007,0.4433547615595111
Not Helpful,90,18428,3556,0.19296722378988496,0.18733379056594343,0.1987286370389422
NMR,90,177639,73466,0.4135690923727335,0.4112808487712949,0.41586107404512107
