window_days,comparison,difference,ci_low,ci_high,n_status,n_reference
30,Helpful - NMR,0.020494224704461328,0.01461313892793244,0.026437109003636758,24798,183373
30,Not Helpful - NMR,-0.1499698413908776,-0.15469115918744264,-0.14510905694578843,19153,183373
60,Helpful - NMR,0.02137565787657658,0.01494438727840667,0.027841751424367428,24499,180688
60,Not Helpful - NMR,-0.19760477411300686,-0.20316756191768337,-0.19191521210747559,18836,180688
90,Helpful - NMR,0.02352821474770267,0.016882949218876998,0.030190931523660005,24212,177639
90,Not Helpful - NMR,-0.22060186858284853,-0.22668370628827678,-0.2144026798128612,18428,177639
